"Unicode","character","UTF-8","name","utf_link","download_link","supply","limit_mint","remaining","deploy","sales","holders"
"U+1F336","🌶","f0 9f 8c b6","HOT PEPPER","%F0%9F%8C%B6","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8C%B6",50,1,0,1172742,0,17
"U+1F337","🌷","f0 9f 8c b7","TULIP","%F0%9F%8C%B7","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8C%B7",300,1,0,1008864,0,23
"U+1F338","🌸","f0 9f 8c b8","CHERRY BLOSSOM","%F0%9F%8C%B8","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8C%B8",21000000,1000,21000000,2208770,0,0
"U+1F339","🌹","f0 9f 8c b9","ROSE","%F0%9F%8C%B9","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8C%B9",1337,1,398,424625,0,73
"U+1F33A","🌺","f0 9f 8c ba","HIBISCUS","%F0%9F%8C%BA","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8C%BA",21000000,10000,21000000,2898441,0,0
"U+1F33B","🌻","f0 9f 8c bb","SUNFLOWER","%F0%9F%8C%BB","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8C%BB",10000,10,9900,1055234,0,1
"U+1F33C","🌼","f0 9f 8c bc","BLOSSOM","%F0%9F%8C%BC","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8C%BC",777,1,772,5848943,0,1
"U+1F33D","🌽","f0 9f 8c bd","EAR OF MAIZE","%F0%9F%8C%BD","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8C%BD",1337,1,0,464758,0,105
"U+1F33E","🌾","f0 9f 8c be","EAR OF RICE","%F0%9F%8C%BE","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8C%BE",10000,10,10000,1055244,0,0
"U+1F33F","🌿","f0 9f 8c bf","HERB","%F0%9F%8C%BF","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8C%BF",420,420,0,1840824,0,1
"U+1F340","🍀","f0 9f 8d 80","FOUR LEAF CLOVER","%F0%9F%8D%80","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%80",44,1,0,500106,0,8
"U+1F341","🍁","f0 9f 8d 81","MAPLE LEAF","%F0%9F%8D%81","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%81",21000000,1,21000000,2979895,0,0
"U+1F342","🍂","f0 9f 8d 82","FALLEN LEAF","%F0%9F%8D%82","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%82",555,37,0,3492964,0,11
"U+1F343","🍃","f0 9f 8d 83","LEAF FLUTTERING IN WIND","%F0%9F%8D%83","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%83",21,6,0,7082212,0,2
"U+1F344","🍄","f0 9f 8d 84","MUSHROOM","%F0%9F%8D%84","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%84",420,1,0,445594,4497465,110
"U+1F345","🍅","f0 9f 8d 85","TOMATO","%F0%9F%8D%85","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%85",100,1,0,974970,0,1
"U+1F346","🍆","f0 9f 8d 86","AUBERGINE","%F0%9F%8D%86","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%86",10000,1,9425,443002,0,21
"U+1F347","🍇","f0 9f 8d 87","GRAPES","%F0%9F%8D%87","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%87",100,1,0,974976,0,1
"U+1F348","🍈","f0 9f 8d 88","MELON","%F0%9F%8D%88","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%88",20000000,100,19998000,3967591,0,1
"U+1F349","🍉","f0 9f 8d 89","WATERMELON","%F0%9F%8D%89","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%89",333,1,0,996601,0,47
"U+1F34A","🍊","f0 9f 8d 8a","TANGERINE","%F0%9F%8D%8A","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%8A",100,1,0,974323,0,33
"U+1F34B","🍋","f0 9f 8d 8b","LEMON","%F0%9F%8D%8B","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%8B",100,1,0,974880,0,38
"U+1F34C","🍌","f0 9f 8d 8c","BANANA","%F0%9F%8D%8C","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%8C",1000,1,0,464763,400000,118
"U+1F34D","🍍","f0 9f 8d 8d","PINEAPPLE","%F0%9F%8D%8D","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%8D",300,1,0,1010897,0,39
"U+1F34E","🍎","f0 9f 8d 8e","RED APPLE","%F0%9F%8D%8E","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%8E",100,1,0,969705,0,20
"U+1F34F","🍏","f0 9f 8d 8f","GREEN APPLE","%F0%9F%8D%8F","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%8F",777,7,0,500105,0,26
"U+1F350","🍐","f0 9f 8d 90","PEAR","%F0%9F%8D%90","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%90",1,1,0,8364159,0,1
"U+1F351","🍑","f0 9f 8d 91","PEACH","%F0%9F%8D%91","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%91",69,1,0,464760,0,15
"U+1F352","🍒","f0 9f 8d 92","CHERRIES","%F0%9F%8D%92","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%92",100,1,0,969695,0,26
"U+1F353","🍓","f0 9f 8d 93","STRAWBERRY","%F0%9F%8D%93","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%93",100,1,0,969646,0,17
"U+1F354","🍔","f0 9f 8d 94","HAMBURGER","%F0%9F%8D%94","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%94",100,1,0,986576,0,19
"U+1F355","🍕","f0 9f 8d 95","SLICE OF PIZZA","%F0%9F%8D%95","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%95",21e14,100000000,2099967999999998,423544,0,7
"U+1F356","🍖","f0 9f 8d 96","MEAT ON BONE","%F0%9F%8D%96","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%96",1000,1000,0,635020,97305,3
"U+1F357","🍗","f0 9f 8d 97","POULTRY LEG","%F0%9F%8D%97","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%97",300,1,300,1009208,0,0
"U+1F358","🍘","f0 9f 8d 98","RICE CRACKER","%F0%9F%8D%98","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%98",1000000,100000,900000,7341692,0,1
"U+1F359","🍙","f0 9f 8d 99","RICE BALL","%F0%9F%8D%99","https://brc20api.bestinslot.xyz/v1/get_brc20_ticker/%F0%9F%8D%99",666,1,666,985893,0,0
