Unicode	character	UTF-8	name
U+1F413	🐓	f0 9f 90 93	ROOSTER
U+1F414	🐔	f0 9f 90 94	CHICKEN
U+1F415	🐕	f0 9f 90 95	DOG
U+1F416	🐖	f0 9f 90 96	PIG
U+1F417	🐗	f0 9f 90 97	BOAR
U+1F418	🐘	f0 9f 90 98	ELEPHANT
U+1F419	🐙	f0 9f 90 99	OCTOPUS
U+1F41A	🐚	f0 9f 90 9a	SPIRAL SHELL
U+1F41B	🐛	f0 9f 90 9b	BUG
U+1F41C	🐜	f0 9f 90 9c	ANT
U+1F41D	🐝	f0 9f 90 9d	HONEYBEE
U+1F41E	🐞	f0 9f 90 9e	LADY BEETLE
U+1F41F	🐟	f0 9f 90 9f	FISH
U+1F420	🐠	f0 9f 90 a0	TROPICAL FISH
U+1F421	🐡	f0 9f 90 a1	BLOWFISH
U+1F422	🐢	f0 9f 90 a2	TURTLE
U+1F423	🐣	f0 9f 90 a3	HATCHING CHICK
U+1F424	🐤	f0 9f 90 a4	BABY CHICK
U+1F425	🐥	f0 9f 90 a5	FRONT-FACING BABY CHICK
U+1F426	🐦	f0 9f 90 a6	BIRD
U+1F427	🐧	f0 9f 90 a7	PENGUIN
U+1F428	🐨	f0 9f 90 a8	KOALA
U+1F429	🐩	f0 9f 90 a9	POODLE
U+1F42A	🐪	f0 9f 90 aa	DROMEDARY CAMEL
U+1F42B	🐫	f0 9f 90 ab	BACTRIAN CAMEL
U+1F42C	🐬	f0 9f 90 ac	DOLPHIN
U+1F42D	🐭	f0 9f 90 ad	MOUSE FACE
U+1F42E	🐮	f0 9f 90 ae	COW FACE
U+1F42F	🐯	f0 9f 90 af	TIGER FACE
U+1F430	🐰	f0 9f 90 b0	RABBIT FACE
U+1F431	🐱	f0 9f 90 b1	CAT FACE
U+1F432	🐲	f0 9f 90 b2	DRAGON FACE
U+1F433	🐳	f0 9f 90 b3	SPOUTING WHALE
U+1F434	🐴	f0 9f 90 b4	HORSE FACE
U+1F435	🐵	f0 9f 90 b5	MONKEY FACE
U+1F436	🐶	f0 9f 90 b6	DOG FACE
U+1F437	🐷	f0 9f 90 b7	PIG FACE
U+1F438	🐸	f0 9f 90 b8	FROG FACE
U+1F439	🐹	f0 9f 90 b9	HAMSTER FACE
U+1F43A	🐺	f0 9f 90 ba	WOLF FACE
U+1F43B	🐻	f0 9f 90 bb	BEAR FACE
U+1F43C	🐼	f0 9f 90 bc	PANDA FACE
U+1F43D	🐽	f0 9f 90 bd	PIG NOSE
U+1F43E	🐾	f0 9f 90 be	PAW PRINTS
U+1F43F	🐿	f0 9f 90 bf	CHIPMUNK
U+1F440	👀	f0 9f 91 80	EYES
U+1F441	👁	f0 9f 91 81	EYE
U+1F442	👂	f0 9f 91 82	EAR
U+1F443	👃	f0 9f 91 83	NOSE
U+1F444	👄	f0 9f 91 84	MOUTH
U+1F445	👅	f0 9f 91 85	TONGUE
U+1F446	👆	f0 9f 91 86	WHITE UP POINTING BACKHAND INDEX
U+1F447	👇	f0 9f 91 87	WHITE DOWN POINTING BACKHAND INDEX
U+1F448	👈	f0 9f 91 88	WHITE LEFT POINTING BACKHAND INDEX
U+1F449	👉	f0 9f 91 89	WHITE RIGHT POINTING BACKHAND INDEX
U+1F44A	👊	f0 9f 91 8a	FISTED HAND SIGN
U+1F44B	👋	f0 9f 91 8b	WAVING HAND SIGN
U+1F44C	👌	f0 9f 91 8c	OK HAND SIGN
U+1F44D	👍	f0 9f 91 8d	THUMBS UP SIGN
U+1F44E	👎	f0 9f 91 8e	THUMBS DOWN SIGN
U+1F44F	👏	f0 9f 91 8f	CLAPPING HANDS SIGN
U+1F450	👐	f0 9f 91 90	OPEN HANDS SIGN
U+1F451	👑	f0 9f 91 91	CROWN
U+1F452	👒	f0 9f 91 92	WOMANS HAT
U+1F453	👓	f0 9f 91 93	EYEGLASSES
U+1F454	👔	f0 9f 91 94	NECKTIE
U+1F455	👕	f0 9f 91 95	T-SHIRT
U+1F456	👖	f0 9f 91 96	JEANS
U+1F457	👗	f0 9f 91 97	DRESS
U+1F458	👘	f0 9f 91 98	KIMONO
U+1F459	👙	f0 9f 91 99	BIKINI
U+1F45A	👚	f0 9f 91 9a	WOMANS CLOTHES
U+1F45B	👛	f0 9f 91 9b	PURSE
U+1F45C	👜	f0 9f 91 9c	HANDBAG
U+1F45D	👝	f0 9f 91 9d	POUCH
U+1F45E	👞	f0 9f 91 9e	MANS SHOE
U+1F45F	👟	f0 9f 91 9f	ATHLETIC SHOE
U+1F460	👠	f0 9f 91 a0	HIGH-HEELED SHOE
U+1F461	👡	f0 9f 91 a1	WOMANS SANDAL
U+1F462	👢	f0 9f 91 a2	WOMANS BOOTS
U+1F463	👣	f0 9f 91 a3	FOOTPRINTS
U+1F464	👤	f0 9f 91 a4	BUST IN SILHOUETTE
U+1F465	👥	f0 9f 91 a5	BUSTS IN SILHOUETTE
U+1F466	👦	f0 9f 91 a6	BOY
U+1F467	👧	f0 9f 91 a7	GIRL
U+1F468	👨	f0 9f 91 a8	MAN
U+1F469	👩	f0 9f 91 a9	WOMAN
U+1F46A	👪	f0 9f 91 aa	FAMILY
U+1F46B	👫	f0 9f 91 ab	MAN AND WOMAN HOLDING HANDS
U+1F46C	👬	f0 9f 91 ac	TWO MEN HOLDING HANDS
U+1F46D	👭	f0 9f 91 ad	TWO WOMEN HOLDING HANDS
U+1F46E	👮	f0 9f 91 ae	POLICE OFFICER
U+1F46F	👯	f0 9f 91 af	WOMAN WITH BUNNY EARS
U+1F470	👰	f0 9f 91 b0	BRIDE WITH VEIL
U+1F471	👱	f0 9f 91 b1	PERSON WITH BLOND HAIR
U+1F472	👲	f0 9f 91 b2	MAN WITH GUA PI MAO
U+1F473	👳	f0 9f 91 b3	MAN WITH TURBAN
U+1F474	👴	f0 9f 91 b4	OLDER MAN
U+1F475	👵	f0 9f 91 b5	OLDER WOMAN
U+1F476	👶	f0 9f 91 b6	BABY
U+1F477	👷	f0 9f 91 b7	CONSTRUCTION WORKER
U+1F478	👸	f0 9f 91 b8	PRINCESS
U+1F479	👹	f0 9f 91 b9	JAPANESE OGRE
U+1F47A	👺	f0 9f 91 ba	JAPANESE GOBLIN
U+1F47B	👻	f0 9f 91 bb	GHOST
U+1F47C	👼	f0 9f 91 bc	BABY ANGEL
U+1F47D	👽	f0 9f 91 bd	EXTRATERRESTRIAL ALIEN
U+1F47E	👾	f0 9f 91 be	ALIEN MONSTER
U+1F47F	👿	f0 9f 91 bf	IMP
U+1F480	💀	f0 9f 92 80	SKULL
U+1F481	💁	f0 9f 92 81	INFORMATION DESK PERSON
U+1F482	💂	f0 9f 92 82	GUARDSMAN
U+1F483	💃	f0 9f 92 83	DANCER
U+1F484	💄	f0 9f 92 84	LIPSTICK
U+1F485	💅	f0 9f 92 85	NAIL POLISH
U+1F486	💆	f0 9f 92 86	FACE MASSAGE
U+1F487	💇	f0 9f 92 87	HAIRCUT
U+1F488	💈	f0 9f 92 88	BARBER POLE
