character	Unicode	BORRAR1	BORRAR2	UTF-8	BORRAR3	name	
🎊	U+1F38A	&#x1F38A;	&#127882;	F0 9F 8E 8A	\u1F38A	Confetti Ball
🎋	U+1F38B	&#x1F38B;	&#127883;	F0 9F 8E 8B	\u1F38B	Tanabata Tree
🎌	U+1F38C	&#x1F38C;	&#127884;	F0 9F 8E 8C	\u1F38C	Crossed Flags
🎍	U+1F38D	&#x1F38D;	&#127885;	F0 9F 8E 8D	\u1F38D	Pine Decoration
🎎	U+1F38E	&#x1F38E;	&#127886;	F0 9F 8E 8E	\u1F38E	Japanese Dolls
🎏	U+1F38F	&#x1F38F;	&#127887;	F0 9F 8E 8F	\u1F38F	Carp Streamer
🎐	U+1F390	&#x1F390;	&#127888;	F0 9F 8E 90	\u1F390	Wind Chime
🎑	U+1F391	&#x1F391;	&#127889;	F0 9F 8E 91	\u1F391	Moon Viewing Ceremony
🎒	U+1F392	&#x1F392;	&#127890;	F0 9F 8E 92	\u1F392	School Satchel
🎓	U+1F393	&#x1F393;	&#127891;	F0 9F 8E 93	\u1F393	Graduation Cap
🎠	U+1F3A0	&#x1F3A0;	&#127904;	F0 9F 8E A0	\u1F3A0	Carousel Horse
🎡	U+1F3A1	&#x1F3A1;	&#127905;	F0 9F 8E A1	\u1F3A1	Ferris Wheel
🎢	U+1F3A2	&#x1F3A2;	&#127906;	F0 9F 8E A2	\u1F3A2	Roller Coaster
🎣	U+1F3A3	&#x1F3A3;	&#127907;	F0 9F 8E A3	\u1F3A3	Fishing Pole And Fish
🎤	U+1F3A4	&#x1F3A4;	&#127908;	F0 9F 8E A4	\u1F3A4	Microphone
🎥	U+1F3A5	&#x1F3A5;	&#127909;	F0 9F 8E A5	\u1F3A5	Movie Camera
🎦	U+1F3A6	&#x1F3A6;	&#127910;	F0 9F 8E A6	\u1F3A6	Cinema
🎧	U+1F3A7	&#x1F3A7;	&#127911;	F0 9F 8E A7	\u1F3A7	Headphone
🎨	U+1F3A8	&#x1F3A8;	&#127912;	F0 9F 8E A8	\u1F3A8	Artist Palette
🎩	U+1F3A9	&#x1F3A9;	&#127913;	F0 9F 8E A9	\u1F3A9	Top Hat
🎪	U+1F3AA	&#x1F3AA;	&#127914;	F0 9F 8E AA	\u1F3AA	Circus Tent
🎫	U+1F3AB	&#x1F3AB;	&#127915;	F0 9F 8E AB	\u1F3AB	Ticket
🎬	U+1F3AC	&#x1F3AC;	&#127916;	F0 9F 8E AC	\u1F3AC	Clapper Board
🎭	U+1F3AD	&#x1F3AD;	&#127917;	F0 9F 8E AD	\u1F3AD	Performing Arts
